      10     -7125.472515073600000  1.70040
      30     -7125.472515073600000  1.70045
      50     -7110.947116273380000  3.92483
      70     -7113.189460803780000  5.71438
      90     -7113.608746644770000  7.80306
     110     -7117.847021668920000 10.12462
     130     -7116.962523332470000 15.32922
     150     -7116.962523808490000 17.91876
     170     -7116.962523808490000 22.33592
     190     -7116.962523808490000 27.15412
     210     -7116.962523808490000 33.65014
     230     -7116.962523808490000 43.17082
     250     -7116.962523808490000 52.26763
     270     -7116.962523808490000 66.77294
     290     -7116.962523808490000 78.52572
     310     -7116.962523808490000 93.54443
     330     -7116.962523808490000 112.96760
     350     -7116.962523808490000 132.67814
     370     -7116.962523808490000 153.91752
     390     -7116.962523808490000 183.92938
     410     -7116.962523808490000 253.40488
     430     -7116.962523808490000 265.76381
     450     -7116.962523808490000 304.53148
     470     -7116.962523808490000 319.75730
