      10     -8977.373596379150000  1.40731
      30     -8977.373596379150000  1.39927
      50     -8968.359340491670000  2.81858
      70     -8970.372418648880000  3.95563
      90     -8970.564135919180000  5.31182
     110     -8974.487181121970000  7.06759
     130     -8974.143338598930000 11.53671
     150     -8974.143338599210000 14.04516
     170     -8974.143338599210000 19.14952
     190     -8974.143338599210000 24.00134
     210     -8974.143338599210000 30.70603
     230     -8974.143338599210000 40.36020
     250     -8974.143338599210000 50.42058
     270     -8974.143338599210000 63.05566
     290     -8974.143338599210000 74.05458
     310     -8974.143338599210000 89.23659
