      10     -1161.102185512110000  0.21239
      30     -1161.102185512110000  0.21235
      50     -1161.102185512110000  0.21223
      70     -1161.102185512110000  0.21203
      90     -1161.102187247940000  0.71382
     110     -1161.102187247940000  1.50702
     130     -1161.102187247940000  2.02019
     150     -1161.102187247940000  2.39369
     170     -1161.102187247940000  3.90226
     190     -1161.102187247940000  5.39950
     210     -1161.102187247940000  5.41073
     230     -1161.102187247940000  8.03338
     250     -1161.102187247940000 11.04194
     270     -1161.102187247940000 13.03970
     290     -1161.102187247940000 16.08225
     310     -1161.102187247940000 19.47419
     330     -1161.102187247940000 23.15614
     350     -1161.102187247940000 29.17195
     370     -1161.102187247940000 30.68074
     390     -1161.102187247940000 39.08291
     410     -1161.102187247940000 46.31000
     430     -1161.102187247940000 50.55008
     450     -1161.102187247940000 58.46980
     470     -1161.102187247940000 65.37198
