      10    -10826.955475728600000  1.12830
      30    -10826.955475728600000  1.12283
      50    -10821.963599937900000  2.10969
      70    -10823.526386863900000  2.92818
      90    -10823.601252416900000  4.00935
     110    -10826.966603254600000  5.53334
     130    -10826.826530239100000  9.88216
     150    -10826.826530239100000 12.35927
     170    -10826.826530239100000 17.39113
     190    -10826.826530239100000 22.30675
     210    -10826.826530239100000 28.96466
     230    -10826.826530239100000 38.65743
     250    -10826.826530239100000 48.11023
     270    -10826.826530239100000 61.27739
     290    -10826.826530239100000 72.39236
     310    -10826.826530239100000 88.05188
     330    -10826.826530239100000 107.37263
     350    -10826.826530239100000 128.12434
     370    -10826.826530239100000 150.90144
