      10      -458.859755167282000  0.60280
      30      -458.859755167282000  0.59868
      50      -458.859755167282000  0.59871
      70      -458.859755167282000  0.59891
      90      -463.427888162704000  3.47053
     110      -463.361140004056000  6.98394
     130      -463.361608881744000  8.30106
     150      -463.361608881744000  8.92064
     170      -463.361608881744000 10.70456
     190      -463.361608881744000 12.29213
     210      -463.361608881744000 12.30803
     230      -463.361608881744000 15.01141
     250      -463.361608881744000 18.03741
     270      -463.361608881744000 20.08325
     290      -463.361608881744000 23.12242
     310      -463.361608881744000 26.48845
     330      -463.361608881744000 30.28554
     350      -463.361608881744000 36.52428
     370      -463.361608881744000 37.73320
     390      -463.361608881744000 46.50502
     410      -463.361608881744000 54.48114
     430      -463.361608881744000 58.47968
     450      -463.361608881744000 66.58646
     470      -463.361608881744000 72.74533
     490      -463.361608881744000 85.26727
